,title,genre,rating,description,votes,tiers,anger,disgust,fear,joy,neutral,sadness,surprise,genre_list,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
2056,After Porn Ends 2,Documentary,5.5,"After Porn Ends 2 turns back the clock to meet the oldest living stars in adult film's history, but goes in depth with some of its most current retirees, and juxtaposes their experiences in a life after porn.",2654.0,6.0,0.004746386,0.039484534,0.004069473,0.057860415,0.8302331,0.034074318,0.029531777,['Documentary'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,Silver Skates,"Adventure, Drama, Family",7.1,Pure-hearted 18-year-old Matvey Polyakov meets a group of pickpockets and trains to learn how to pickpocket.,6097.0,8.0,0.034155287,0.11832098,0.003057229,0.42629495,0.3914418,0.018701216,0.008028592,"['Adventure', 'Drama', 'Family']",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2058,Zach Stone Is Gonna Be Famous,Comedy,8.3,"After recently graduating high school, young Zach Stone opts out of a college to pursue the New American Dream: becoming famous with no talent whatsoever.",3825.0,9.0,0.00773437,0.008301829,0.00850253,0.656305,0.2648551,0.041720975,0.012580139,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,Yasuke,"Animation, Action, Adventure",6.2,"He came from Africa and fought alongside a mighty feudal lord in brutal 16th century Japan. They called him the Black Samurai, and he became a legend.",5308.0,7.0,0.19796321,0.4752305,0.035673343,0.005630865,0.2710474,0.007536297,0.006918504,"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,Ocean Waves,"Animation, Drama, Romance",6.6,"As a young man returns home after his first year away at college he recalls his senior year of high school and the iron-willed, big city girl that turned his world upside down.",17307.0,7.0,0.023960026,0.06720772,0.085894994,0.24156046,0.54321206,0.015385894,0.022778798,"['Animation', 'Drama', 'Romance']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2061,The Trials of Gabriel Fernandez,"Documentary, Crime",8.1,"Filmmaker Brian Knappenberger investigates the tragic death of an 8-year-old California boy who endured horrific abuse by his mother and her boyfriend, along with the fractured and complex systems that failed to protect him.",11687.0,9.0,0.008139619,0.07761693,0.62455976,0.002330983,0.01877476,0.2624309,0.006147045,"['Documentary', 'Crime']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2062,Married to Medicine,Reality-TV,5.5,"The ladies of Atlanta's exclusive medical inner circle return with more patients, less patience and a few heart palpitations along the way.",403.0,6.0,0.004135774,0.019571884,0.007066284,0.01131588,0.5900273,0.3416618,0.026221098,['Reality-TV'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2063,The Returned,"Drama, Fantasy, Horror",7.0,A small town's residents are stunned when recently deceased locals begin returning from the dead. What should be a miracle soon becomes a nightmare.,11908.0,7.0,0.0045146,0.004524753,0.024004014,0.000994592,0.00977414,0.001408683,0.9547792,"['Drama', 'Fantasy', 'Horror']",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,Haters Back Off!,"Comedy, Drama, Family",5.9,"The odd ball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.",7335.0,6.0,0.005898436,0.011881278,0.007609573,0.004507607,0.90869963,0.013938028,0.04746549,"['Comedy', 'Drama', 'Family']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2065,Tower of God,"Animation, Action, Adventure",7.7,"Reach the top, and everything will be yours. At the top of the tower exists everything in this world, and all of it can be yours.",5679.0,8.0,0.014226538,0.003819894,0.004363723,0.006236129,0.9539736,0.002402494,0.014977686,"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,Fullmetal Alchemist: Final Transmutation,"Action, Adventure, Fantasy",5.7,"The Elric brothers' long and winding journey comes to a close in this epic finale, where they must face off against an unworldly, nationwide threat.",65.0,6.0,0.014808444,0.006099427,0.79177004,0.007779111,0.12177885,0.014648457,0.043115642,"['Action', 'Adventure', 'Fantasy']",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2067,Balls Out,"Comedy, Sport",4.3,"With marriage, graduation, and the real world looming on the horizon, fifth year senior Caleb Fuller reassembles the ol' team of misfits for one last epic run in Intramural football.",1482.0,5.0,0.01276752,0.004530002,0.009203301,0.09927868,0.84098,0.016903277,0.016337274,"['Comedy', 'Sport']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2068,Uncorked,Drama,6.4,Elijah must balance his dream of becoming a master sommelier with his father's expectations that he carry on the family's Memphis BBQ joint.,5771.0,7.0,0.005724463,0.004245627,0.00191903,0.008103829,0.9689824,0.003963491,0.007061184,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,Berserk: The Golden Age Arc III - The Advent,"Animation, Action, Adventure",7.8,A year has passed since Guts parted ways with Griffith. The Band of the Hawk is plotting a rescue mission to save Griffith who is confined to prison.,10365.0,8.0,0.07250647,0.02527759,0.021546237,0.023161573,0.50173223,0.35082603,0.004949897,"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,Point Blank,"Action, Crime, Drama",5.7,An ER nurse and a career criminal are forced into an unlikely partnership in taking down a ring of corrupt cops threatening the lives of both their families.,14514.0,6.0,0.3019629,0.12354004,0.40603694,0.003493823,0.1304252,0.027613765,0.006927346,"['Action', 'Crime', 'Drama']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,Det som göms i snö,"Crime, Drama, Mystery",7.4,"After a long sick leave and recovery police detective Peter Wendel is back on duty. He is commissioned to form a new team to reopen unresolved murder cases, however he soon finds himself ...                See full summary »",2938.0,8.0,0.055127032,0.012228633,0.11577178,0.12997164,0.0775037,0.56068534,0.04871191,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2072,My Secret Romance,"Comedy, Romance",7.1,Jin-wook and Yoo-mi meet at a Gangwon-do resort and get caught up in a series of misunderstandings and accidents.,3549.0,8.0,0.09154564,0.014984977,0.07199577,0.01720879,0.51204926,0.18555653,0.106659085,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2073,The A List,"Crime, Drama, Mystery",5.4,"Mia arrives at an idyllic summer camp expecting to be Queen Bee, but the ""holiday of a lifetime"" turns into a twisted nightmare.",2968.0,6.0,0.005401489,0.007973931,0.24510401,0.107686736,0.14602208,0.4439117,0.043900054,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2074,Making Fun,Reality-TV,7.1,"Grumpy expert maker Jimmy DiResta, and his 4 real-life friends Paul Jackman, Pat Lap, Derek Forestier, and John Graziano, field kids' ideas for delightfully pointless inventions. Then - if Jimmy's in the mood - he and his pals build 'em.",628.0,8.0,0.05405304,0.022937475,0.002020171,0.32174078,0.56827635,0.014120558,0.016851606,['Reality-TV'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2075,Private Life,"Comedy, Drama",7.2,"An author is undergoing multiple fertility therapies to get pregnant, putting her relationship with her husband on edge.",19832.0,8.0,0.23530795,0.39732733,0.12975651,0.001890295,0.059036314,0.16996156,0.006719941,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,Acrimony,"Horror, Romance, Thriller",5.8,"A faithful wife, tired of standing by her devious husband, is enraged when it becomes clear she has been betrayed.",8922.0,6.0,0.9101991,0.056433838,0.001811082,0.000852532,0.019870857,0.007709417,0.003123145,"['Horror', 'Romance', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2077,Mark Felt: The Man Who Brought Down the White House,"Biography, Drama, History",6.4,"The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1972.",13586.0,7.0,0.041648567,0.21705087,0.68033165,0.005122321,0.020141274,0.021933451,0.013771893,"['Biography', 'Drama', 'History']",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,Like Father,"Comedy, Drama",6.1,"After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father.",21599.0,7.0,0.033211507,0.5474841,0.004613463,0.013445819,0.10177919,0.2963327,0.003133265,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,Other People,"Comedy, Drama",6.8,"A struggling comedy writer, fresh off a breakup and in the midst of the worst year of his life, returns to Sacramento to care for his dying mother.",11552.0,7.0,0.002230227,0.01886368,0.005128105,0.008495435,0.015653737,0.9471604,0.002468429,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,Anne+,Drama,6.1,"A twenty-something lesbian university graduate in Amsterdam prepares to leave for Montreal, meanwhile navigating her social life and writing carreer.",1565.0,7.0,0.008347863,0.015746005,0.10157459,0.69908273,0.0512239,0.11797027,0.006054757,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,Fire with Fire,"Action, Thriller",5.6,"A fireman takes an unexpected course of action when a man whom he's been ordered to testify against, after being held up at a local convenience store, threatens him.",26737.0,6.0,0.05078496,0.011388558,0.9221386,0.000990309,0.007152192,0.002608004,0.004937466,"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2082,The Salisbury Poisonings,"Drama, History, Thriller",7.2,"Three episode, fact based drama from the BBC, about the 2018 Novichok poisoning crisis in the city of Salisbury.",6458.0,8.0,0.025816865,0.08370398,0.6152128,0.11196761,0.1221786,0.034576464,0.006543687,"['Drama', 'History', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2083,Slugterra,"Animation, Action, Adventure",6.9,"Eli Shane is determined to be the greatest Slugslinging hero of them all! Only by collecting, training and dueling with little critters called SLUGS can Eli and his team hope to defeat the ...                See full summary »",1707.0,7.0,0.11366637,0.016234756,0.09219531,0.32670626,0.26221883,0.07656917,0.11240935,"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,Article 15,"Crime, Drama, Mystery",8.2,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",33653.0,9.0,0.2716659,0.67962027,0.009901184,0.001129291,0.032847676,0.002835745,0.001999903,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2085,Touch Your Heart,"Comedy, Romance",7.6,"A romance between a lawyer and a top actress, whose life goes downhill after becoming caught up in a scandal with a third generation chaebol. She fakes her position to become the lawyer's ...                See full summary »",3423.0,8.0,0.18265963,0.10430738,0.14805867,0.105084896,0.12688294,0.28393963,0.049066957,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2086,Steins;Gate 0,"Animation, Drama, Mystery",8.4,Mad scientist Okabe struggles to recover from past failure and tests a new artificial intelligence,9123.0,9.0,0.015280339,0.019151293,0.0491508,0.002716289,0.44925374,0.43293098,0.031516545,"['Animation', 'Drama', 'Mystery']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2087,Lawless Lawyer,"Action, Drama, Thriller",7.6,"A ""gangster lawyer"" who doesn't trust the law and feels free to use his fists. He takes advantage of loopholes in the law and boasts an excellent win rate. Other lawyers may consider the ...                See full summary »",1898.0,8.0,0.107010596,0.14621545,0.008353509,0.4104567,0.30040893,0.021278678,0.006276089,"['Action', 'Drama', 'Thriller']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2088,In Good Hands,"Comedy, Drama, Romance",5.6,"Diagnosed with terminal illness, a single mother encounters a suave bachelor as she grapples with the future of her headstrong six-years-old.",2910.0,6.0,0.004491385,0.07713221,0.007531437,0.023514217,0.08186752,0.8033528,0.002110527,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2089,Rosario + Vampire,"Animation, Comedy, Fantasy",6.9,Tskune accidentally gets on a bus to a school of monsters.,3205.0,7.0,0.023436245,0.060937647,0.078733824,0.007794831,0.71608675,0.025541212,0.08746944,"['Animation', 'Comedy', 'Fantasy']",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,Mine,"Drama, Mystery",7.7,"Encaged in a gold-clad life of secrets and lies, two women in a conglomerate family seek to topple all that stands in their way of finding true joy.",1260.0,8.0,0.017312305,0.02054086,0.002395261,0.53593606,0.39127183,0.028561829,0.00398185,"['Drama', 'Mystery']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2091,Celeste & Jesse Forever,"Comedy, Drama, Romance",6.6,A divorcing couple tries to maintain their friendship while they both pursue other people.,31753.0,7.0,0.103925176,0.79186934,0.002072719,0.003966311,0.045148607,0.05152875,0.001489082,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2092,The Last Bus,"Adventure, Comedy, Drama",5.1,A group of mismatched school kids band together to face a fearsome new machine intelligence.,640.0,6.0,0.26402444,0.07536047,0.5345981,0.008488566,0.099191315,0.006942379,0.011394812,"['Adventure', 'Comedy', 'Drama']",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,Cinderella and the Four Knights,"Comedy, Romance",7.4,"A young girl who lives with her cruel stepmother and sister, accidentally meets 3 young and rich cousins who live a luxury life in a big mansion and is hired by the boys grandpa to look after their bad behavior.",4088.0,8.0,0.052471314,0.8009575,0.002150363,0.018833986,0.08551225,0.025214138,0.014860564,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2094,Champions,Comedy,6.0,Vince is forced to re-think his laid-back lifestyle following an unexpected visit.,3940.0,6.0,0.007069335,0.004589309,0.004311665,0.1671651,0.3290633,0.024400454,0.46340084,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,Summertime,"Drama, Romance",6.1,"A modern love story, set during a summer on the Adriatic coast. An undeniable attraction unites Ale and Summer, two people from very different worlds.",2806.0,7.0,0.003776606,0.009458265,0.007247102,0.5151711,0.4063132,0.009640347,0.048393276,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2096,School Tales the Series,"Horror, Mystery",5.2,Unspeakable horrors roam the halls of high school in this anthology featuring ghost stories directed by seasoned Thai horror directors.,391.0,6.0,0.001053203,0.004183332,0.9727312,0.001254177,0.009923818,0.002282811,0.008571518,"['Horror', 'Mystery']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2097,"Oh, Ramona!","Comedy, Romance",4.8,A teenager named Andrei transitions from a teenager into an adult.,9010.0,5.0,0.008645799,0.12716153,0.020537797,0.0923162,0.67551124,0.04353125,0.0322961,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2098,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,"Animation, Action, Fantasy",7.4,"When the world's greatest assassin reaches the end of his life, he is sent by a goddess to be reborn in a magical world and use his skills to save that world.",1955.0,8.0,0.033485472,0.08844134,0.011801878,0.16437607,0.56561065,0.12827933,0.008005188,"['Animation', 'Action', 'Fantasy']",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,The Liberator,"Animation, Action, Drama",7.6,The true story of one of the bloodiest battles of World War II.,6233.0,8.0,0.30339754,0.42571405,0.06723176,0.00909428,0.13693698,0.053113736,0.004511777,"['Animation', 'Action', 'Drama']",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,The World's Most Amazing Vacation Rentals,Reality-TV,6.7,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",1383.0,7.0,0.005249997,0.001879719,0.001443803,0.011340813,0.96492374,0.002275965,0.012885924,['Reality-TV'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2101,System Crasher,Drama,7.8,"On her wild quest for love, 9-year-old Benni's untamed energy drives everyone around her to despair.",13039.0,8.0,0.003510588,0.003977912,0.09888491,0.002637215,0.02912329,0.85770494,0.004161157,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2102,SPF-18,"Drama, Romance, Sport",3.2,"18-year-old Penny Cooper spent years pining for Johnny Sanders Jr., but when a mysterious musician shows up on the beach, Penny is torn.",5270.0,4.0,0.006093438,0.0164913,0.118163995,0.008620141,0.06448778,0.59186304,0.19428031,"['Drama', 'Romance', 'Sport']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2103,The Rational Life,"Drama, Romance",8.1,Shen Ruo Xin is a thirty-something professional who decides to take a stand against unfair societal expectations At her workplace she finds herself drawn to two different men - one her ...                See full summary »,509.0,9.0,0.6859873,0.018832693,0.08712487,0.032886036,0.031855345,0.11213072,0.031183138,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2104,Bad Vegan: Fame. Fraud. Fugitives.,"Documentary, Crime",5.9,"After marrying a mysterious man who claimed he could make her dog immortal, a celebrated vegan restaurateur finds her life veering off the rails.",6759.0,6.0,0.01931152,0.02469157,0.025964858,0.12491944,0.7012828,0.053613137,0.050216623,"['Documentary', 'Crime']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,A Tale Dark & Grimm,"Animation, Action, Adventure",7.3,Follow Hansel and Gretel as they walk out of their own story into a winding and wickedly witty tale full of strange -and scary- surprises.,1421.0,8.0,0.022745237,0.007130162,0.1158881,0.15429683,0.54670376,0.006455831,0.14678009,"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106,Sharknado 4: The 4th Awakens,"Action, Adventure, Comedy",3.8,"Fin, his family and the cosmos have been blissfully sharknado-free in the five years since the most recent attack, but now sharks and tornadoes are being whipped up in unexpected ways and places.",8319.0,4.0,0.005960521,0.003703727,0.003533928,0.2914547,0.60639083,0.04948973,0.0394666,"['Action', 'Adventure', 'Comedy']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2107,Code Lyoko,"Animation, Action, Adventure",7.3,"When a group of four boarding school students discover a supercomputer housed inside an abandoned factory, they find a virtual world called Lyoko and awaken a sentient multi-agent system virus that tries to take over the real world.",5245.0,8.0,0.040705334,0.7075665,0.02289832,0.002976325,0.19423199,0.006643434,0.024978183,"['Animation', 'Action', 'Adventure']",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2108,Contracted,"Drama, Horror, Thriller",5.3,"After being drugged and raped at a party, a young woman contracts what she thinks is an STD; but, it's actually something much worse.",15396.0,6.0,0.008239496,0.97217375,0.008412495,0.000345002,0.005858485,0.004264895,0.000705871,"['Drama', 'Horror', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2109,The Empress Ki,"Action, Drama, History",8.4,A Korea-born warrior girl had to be a servant at the Mongol Yuan court but somehow overcame her low status to become an empress in another land.,2791.0,9.0,0.009754767,0.026817854,0.004973548,0.019747555,0.76788276,0.018631762,0.15219173,"['Action', 'Drama', 'History']",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,Unicorn Store,"Comedy, Drama, Fantasy",5.6,"Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams.",19572.0,6.0,0.013076997,0.003041386,0.005574061,0.6662966,0.1623987,0.008604428,0.14100778,"['Comedy', 'Drama', 'Fantasy']",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111,Snowflake Mountain,Reality-TV,5.4,"A bunch of clueless kidults are put through their paces at a wilderness survival retreat to try and kickstart them into standing on their own two feet. There's no running water, no parents, and, worst of all, no Wi-Fi.",1364.0,6.0,0.08459881,0.84410226,0.003847884,0.000724214,0.055913612,0.00823858,0.002574677,['Reality-TV'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2112,Marfa Girl,Drama,5.2,"A story centered on a directionless 16-year-old living in Marfa, Texas and his relationships with his girlfriend, his neighbor, his teacher, a newly arrived local artist, and a local Border Patrol officer.",1695.0,6.0,0.027492221,0.7740959,0.026635269,0.006600346,0.12938079,0.032134216,0.003661281,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2113,The Beyond,"Drama, Sci-Fi",4.9,"After observing an anomaly in space, scientists transplant human brains in to synthetic bodies and send them through the wormhole.",6387.0,5.0,0.019398075,0.06305501,0.010822555,0.003874165,0.85232973,0.006002059,0.044518325,"['Drama', 'Sci-Fi']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2114,XX,Horror,4.6,Four short horror films that are directed and written by women.,11864.0,5.0,0.001046315,0.003726255,0.98050904,0.004844011,0.003308091,0.001933789,0.004632508,['Horror'],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,The Prince,"Action, Thriller",4.6,"When his daughter is kidnapped, a retired assassin is drawn back into the life he gave up. To rescue her, he must confront his former rival.",18577.0,5.0,0.44943422,0.10000948,0.3619066,0.00112022,0.02010608,0.065306224,0.002117235,"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2116,Do Do Sol Sol La La Sol,"Comedy, Drama, Music",7.3,"A riches-to-rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love.",1656.0,8.0,0.002127468,0.005346935,0.000949137,0.86988515,0.091413215,0.019575484,0.010702691,"['Comedy', 'Drama', 'Music']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2117,When They Cry,"Animation, Drama, Horror",7.9,The story of a group of young friends and the mysterious events that occur in the rural village of Hinamizawa.,5731.0,8.0,0.009127334,0.009117584,0.47293162,0.026123285,0.1676167,0.010116016,0.30496743,"['Animation', 'Drama', 'Horror']",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2118,Ghost Stories,"Horror, Thriller",4.4,"The winning team of ""Lust Stories"" reunites to tell some spine-chilling tales. ""Ghost Stories"" is an upcoming 2020 Indian anthology horror film consisting of four short film segments.",5339.0,5.0,0.0020604,0.006125187,0.95516765,0.004186275,0.018685836,0.003573339,0.010201207,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2119,Unstoppable,"Comedy, Drama",7.2,Four girlfriends on a weekend road trip end up on a journey of self-discovery.,969.0,8.0,0.007199368,0.01014391,0.00957081,0.2681767,0.60603726,0.052889682,0.045982335,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,Riverdance: The Animated Adventure,"Animation, Adventure, Comedy",5.5,An Irish boy named Keegan and a Spanish girl named Moya journey into the mythical world of the Megaloceros Giganteus who teach them to appreciate Riverdance as a celebration of life.,1915.0,6.0,0.004717611,0.006215059,0.004622688,0.79006815,0.16884767,0.006387305,0.019141527,"['Animation', 'Adventure', 'Comedy']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2121,The Final Girl,Drama,3.5,"Three Parisian women discover that their lives are delicately interconnected to a mysterious fourth woman, who remains tantalizingly out of reach.",307.0,4.0,0.008626637,0.007272158,0.10845887,0.018580168,0.7082272,0.005183203,0.14365175,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Comedy,7.1,"Comedians and writers Steve Martin and Martin Short perform a live comedy set with music by The Steep Canyon Rangers and jazz pianist, Jeff Babko, at the Peace Center in Greenville, South Carolina.",2741.0,8.0,0.004067569,0.008971555,0.002614931,0.82791805,0.12569594,0.009689645,0.021042319,['Comedy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2123,Hey Duggee,"Animation, Comedy, Family",8.9,"Duggee looks after the Squirrels, who earn different badges on their adventures.",1141.0,9.0,0.014908495,0.05909435,0.001146936,0.014112785,0.89655775,0.008845343,0.005334374,"['Animation', 'Comedy', 'Family']",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,V/H/S Viral,"Horror, Thriller",4.2,A Los Angeles police chase sends a fame-obsessed man on a wild ride to save his girlfriend from a cybernetic terror.,17014.0,5.0,0.007079348,0.001701556,0.97646433,0.001713577,0.006371455,0.00166192,0.005007915,"['Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
